source_row,flagship_id,flagship_title_raw,partner_id,partner_name,partner_category,partner_category_raw,collaboration_types,collaboration_type_raw,start_year,end_year,reporting_period,role_relevance
42,2022012,PROTECt ME,partner:re-connect,RE-CONNECT,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Genoemd als maatschappelijke partner binnen de bredere impact- en implementatiecontext van het project.
43,2022012,PROTECt ME,partner:university-educational-programs,University educational programs,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Genoemd in relatie tot onderwijsinnovatie en de koppeling van onderzoeksresultaten aan universitaire onderwijsprogramma’s.
44,2022012,PROTECt ME,partner:quardin,Quardin,Privaat,privaat,Co-creatie,Co-creatie,2022,,2025,"Digitale partner gericht op mentale gezondheid en zelfregie, genoemd als mogelijke samenwerkingscontext voor het ontwikkelen en toepassen van digitale tools voor jongeren."
45,2022012,PROTECt ME,partner:mindus,MindUS,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2025,"Maatschappelijke organisatie gericht op mentale gezondheid van jongeren; genoemd als relevante partner voor participatie, co-creatie en praktijkgerichte toepassing."
46,2022012,PROTECt ME,partner:kinderpostzegels,Kinderpostzegels,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2025,Organisatie met focus op welzijn en kansen van kinderen en jongeren; genoemd als maatschappelijke partner in relatie tot jeugdparticipatie en impact.
47,2022012,PROTECt ME,partner:de-kindertelefoon,De Kindertelefoon,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2025,Organisatie die laagdrempelige ondersteuning biedt aan kinderen en jongeren; genoemd als relevante praktijkcontext voor signalen rond mentale gezondheid.
48,2022012,PROTECt ME,partner:proportion-global,Proportion Global,Privaat,privaat,Co-creatie,Co-creatie,2022,,2025,Ontwerp- en strategiepartner genoemd in relatie tot maatschappelijke innovatie en het vertalen van onderzoeksinzichten naar toepasbare concepten.
49,2022012,PROTECt ME,partner:young-impact,Young Impact,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2025,Organisatie gericht op jongerenparticipatie en maatschappelijke impact; genoemd als relevante partner voor betrokkenheid en activering van jongeren.
50,2022012,PROTECt ME,partner:hefhouse,HefHouse,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,,,2025,Jongerenhub genoemd als locatie en partner voor participatieve workshops en co-creatieactiviteiten met jongeren.
51,2022012,PROTECt ME,partner:wolfert-college,Wolfert College,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,,,2025,"Onderwijscontext voor co-design activiteiten met jongeren, in samenwerking met scholen en docenten."
52,2022012,PROTECt ME,partner:gro-up-youth-work,Gro-up Youth Work,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,,,2025,Jeugdwerkorganisatie betrokken bij participatie en co-creatieactiviteiten met jongeren.
53,2022012,PROTECt ME,partner:be-ubuntu,Be Ubuntu,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,,,2025,Maatschappelijke organisatie betrokken bij kennisuitwisseling en ervaringsdeling rondom jongerenparticipatie.
54,2022012,PROTECt ME,partner:rotterdam-esm-group,Rotterdam ESM Group,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Methodologische en onderzoekspartner rondom Experience Sampling Methodologie en dataverzameling.
55,2022012,PROTECt ME,partner:113-zelfmoordpreventie,113 Zelfmoordpreventie,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2025,,2025,"Samenwerking in de context van zelfmoordpreventie en mentale gezondheidszorg voor jongeren; uitwisseling van kennis over signalering, preventie en doorverwijzing."
56,2022012,PROTECt ME,partner:zilveren-kruis-knvb,Zilveren Kruis / KNVB,Privaat,Privaat,Preventie,Preventie,2025,,2025,Samenwerking gericht op mentale gezondheid bij jongeren via sport- en preventieprogramma’s; verbinding met landelijke netwerken en bereik van jongeren.
57,2022012,PROTECt ME,partner:in-je-bol,In je bol,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Preventie,Preventie,2025,,2025,"Nationaal preventieplatform voor jongeren; relevant als kanaal voor kennisdeling, bewustwording en aansluiting bij bestaande mentale gezondheidsinitiatieven."
58,2022017,CIFIC,partner:erasmus-optical-imaging-centre-oic,Erasmus Optical Imaging Centre (OIC),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek; Co-creatie,Onderzoek/Co-creatie,2022,,2022,Gedeelde onderzoeksfaciliteit; vertaalt fundamentele en klinische onderzoeksvragen naar concrete microscopietoepassingen; faciliteert samenwerking tussen EMC en TU Delft.
59,2022017,CIFIC,partner:van-leeuwenhoek-laboratory-for-advanced-imaging-research-vllair,Van Leeuwenhoek Laboratory for Advanced Imaging Research (VLLAIR),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek; Co-creatie,Onderzoek/Co-creatie,2022,,2022,Imaging-innovatiecentrum TU Delft; ontwikkeling van nieuwe microscopie-instrumentatie in samenwerking met academische en industriële partners.
60,2022017,CIFIC,partner:delmic,Delmic,Privaat,Privaat,Contractresearch,Contractresearch,2022,,2022,Industriële partner in ontwikkeling van geavanceerde microscopie-instrumenten (o.a. ENZEL); gezamenlijke technologieontwikkeling en validatie.
61,2022017,CIFIC,partner:thermo-fisher-scientific,Thermo Fisher Scientific,Privaat,Privaat,Contractresearch,Contractresearch,2022,,2022,"Industriële partner bij ontwikkeling en toepassing van (volume) electron microscopy technologie, waaronder FAST-EM."
62,2022017,CIFIC,partner:technolution,Technolution,Privaat,Privaat,Contractresearch,Contractresearch,2022,,2022,Technologiepartner betrokken bij ontwikkeling van FAST-EM en bijbehorende workflows.
63,2022017,CIFIC,partner:nl-bioimaging-nwo-roadmap-consortium,NL-bioimaging (NWO Roadmap consortium),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Nationaal infrastructuurconsortium; aanpalende projecten (postdocs) op het gebied van smart microscopy versterken EMC–TU Delft convergentie.
64,2022017,CIFIC,partner:nwo-ttw-3d-nano-imaging-consortium,NWO-TTW 3D Nano-imaging consortium,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Aanpalend onderzoeksconsortium; PhD-project draagt bij aan imaging-innovatie en versterkt CIFIC-gerelateerde samenwerking.
65,2022017,CIFIC,partner:erasmus-center-for-innovation-eci,Erasmus Center for Innovation (ECI),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,,,2025,Ondersteunt innovatie en samenwerking binnen multi-party netwerken; expertise in innovatie- en leerprocessen en ondersteuning van valorisatie en samenwerking binnen CIFIC.
66,2022017,CIFIC,partner:amsterdam-umc-aumc,Amsterdam UMC (AUMC),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Partner via het NL-bioimaging NWO Roadmap consortium (lead institute); betrokken bij ontwikkeling en toepassing van smart microscopy en versterkt nationale infrastructuursamenwerking relevant voor CIFIC.
67,2022020,Healthy Joints,partner:leids-universitair-medisch-centrum-lumc,Leids Universitair Medisch Centrum (LUMC),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Betrokken bij Advanced Image Processing (TM11005)
68,2022020,Healthy Joints,partner:artrose-gezond,Artrose Gezond,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Patiëntenplatform; patiëntbetrokkenheid, communicatie en outreach"
69,2022020,Healthy Joints,partner:reumanederland,ReumaNederland,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Patiëntenorganisatie; patiëntpanels en onderzoeksagenda OA
70,2022020,Healthy Joints,partner:primeur-academic-primary-care-research-network,PRIMEUR (Academic primary care research network),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Netwerk van huisartsenpraktijken; dataverzameling en implementatie
71,2022020,Healthy Joints,partner:municipality-of-rotterdam-healthy-r,Municipality of Rotterdam (HEALTHY’R),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,Samenwerking rond gedragsverandering en gezondheid
72,2022020,Healthy Joints,partner:university-of-applied-sciences-rotterdam,University of Applied Sciences Rotterdam,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Onderzoek en implementatie in fysiotherapiepraktijken
73,2022020,Healthy Joints,partner:general-electric-healthcare,General Electric Healthcare,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Samenwerking rond imaging technologie
74,2022020,Healthy Joints,partner:motek-medical,MOTEK Medical,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Motion capture en biomechanica
75,2022020,Healthy Joints,partner:siemens,Siemens,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Industriële technologiepartner (participation board)
76,2022020,Healthy Joints,partner:xsens,Xsens,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Motion sensing technologie
77,2022020,Healthy Joints,partner:moveshelf,MoveShelf,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner in MOBI-lab context
78,2022020,Healthy Joints,partner:elictac,Elictac,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner in WalkWell-ontwikkeling
79,2022020,Healthy Joints,partner:lifetec-group,Lifetec Group,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Co-ontwikkeling bioreactor voor mechanische belasting OA-modellen
80,2022020,Healthy Joints,partner:chiron,Chiron,Privaat,Privaat,Co-creatie,Co-creatie,2022,,2022,Technologiepartner WP4
81,2022020,Healthy Joints,partner:optics11,Optics11,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner WP4
82,2022020,Healthy Joints,partner:20med,20med,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner WP4
83,2022020,Healthy Joints,partner:procore,ProCore,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,Technologiepartner WP4
84,2022020,Healthy Joints,partner:eth-zurich,ETH Zurich,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Academische samenwerking binnen MOBI-lab
85,2022020,Healthy Joints,partner:technische-universiteit-twente,Technische Universiteit Twente,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Academische samenwerking WP4
86,2022020,Healthy Joints,partner:technische-universiteit-eindhoven,Technische Universiteit Eindhoven,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Academische samenwerking WP4
87,2022020,Healthy Joints,partner:umc-utrecht,UMC Utrecht,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Academische samenwerking WP4
88,2022020,Healthy Joints,partner:oa-research-society-international-oarsi,OA Research Society International (OARSI),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Internationale classificatiecriteria en richtlijnontwikkeling
89,2022025,Organ Transplantation,partner:erasmus-mc-transplant-institute,Erasmus MC Transplant Institute,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,2022,,2022,"Centrale klinische en organisatorische inbedding van het Flagship; faciliteert integratie met transplantatiezorg, klinische infrastructuur, onderwijs en professionele netwerken"
90,2022025,Organ Transplantation,partner:htm-erasmus-university-rotterdam,HTM – Erasmus University Rotterdam,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,"Sociaal-economische, ethische en juridische evaluaties van transplantatie-innovaties (WP6)"
91,2022025,Organ Transplantation,partner:wenckebach-institute-groningen-umc,Wenckebach Institute (Groningen UMC),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Ontwikkeling van gespecialiseerde trainingsprogramma’s voor verpleegkundigen in orgaantransplantatie; versterkt klinische expertise en workforce development
92,2022025,Organ Transplantation,partner:umc-groningen,UMC Groningen,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Klinische samenwerking in organ perfusion studies en validatie van perfusieplatforms
93,2022025,Organ Transplantation,partner:center-for-biofabrication-bioassembly-centerb2,Center for Biofabrication & Bioassembly (CenterB2),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Onderzoeksinfrastructuur en expertise in biofabrication en organoid-technologie
94,2022025,Organ Transplantation,partner:hub-organoids,HUB Organoids,Privaat,Privaat,Onderzoek,Onderzoek,2022,,2022,"Publiek / Maatschappelijk-private samenwerking gericht op organoid-technologie, opschaling en vertaling van fundamenteel onderzoek naar toepassing"
95,2022025,Organ Transplantation,partner:leiden-university,Leiden University,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,2022,,2022,Levering van stagiairs (3 maanden) die bijdragen aan onderzoeks- en data-analyseactiviteiten binnen het Flagship
96,2022025,Organ Transplantation,partner:hogeschool-leiden,Hogeschool Leiden,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,Levering van stagiairs (10 maanden) die bijdragen aan praktijkgericht onderzoek binnen het Flagship
97,2022025,Organ Transplantation,partner:utrecht-university,Utrecht University,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,2022,,2022,"Bijdrage via masterstudenten en pharmacy interns aan dataverzameling, analyse en ethische vraagstukken binnen WP3 en WP6"
98,2022025,Organ Transplantation,partner:cleveland-clinic-usa,Cleveland Clinic (USA),Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderwijs,Onderwijs,,,2025,Internationale validatiepartner voor geavanceerde perfusieplatforms
99,2022025,Organ Transplantation,partner:university-of-twente,University of Twente,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Technologische ondersteuning voor verlenging van organ perfusion duur
100,2022025,Organ Transplantation,partner:amsterdam-umc,Amsterdam UMC,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Klinisch-technologische samenwerking in ontwikkeling van organ incubators
101,2022025,Organ Transplantation,partner:xvivo-company,XVivo Company,Privaat,Privaat,Onderzoek,Onderzoek,,,2025,Industriële partner in ontwikkeling van organ incubator-systemen
102,2022025,Organ Transplantation,partner:radboud-umc,Radboud UMC,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Co-creatie,Co-creatie,,,2025,Klinische samenwerking in niertransplantatiestudies
103,2022025,Organ Transplantation,partner:university-hospital-aachen,University Hospital Aachen,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Internationale klinische samenwerking in nierstudies
104,2022025,Organ Transplantation,partner:university-hospital-bangkok,University Hospital Bangkok,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Onderzoek,Onderzoek,,,2025,Internationale klinische samenwerking en dataverzameling
105,2022025,Organ Transplantation,partner:imcomet,Imcomet,Privaat,Privaat,Onderzoek,Onderzoek,,,2025,Industriële partner betrokken bij ontwikkeling en opschaling van perfusie- en transplantatietechnologieën. Bijdrage aan valorisatie en industriële vertaling van innovatieve perfusieplatforms.
106,2022025,Organ Transplantation,partner:levels-diagnostics,LEVELS Diagnostics,Privaat,Privaat,Onderzoek; Co-creatie,Onderzoek/Co-creatie,,,2025,Samenwerking rond ontwikkeling en validatie van diagnostische biomarkers en monitoringtools binnen transplantatiezorg. Versterkt klinische besluitvorming en personaliseert post-transplant zorg.
107,2022025,Organ Transplantation,partner:aferetica,Aferetica,Privaat,Privaat,Onderzoek; Co-creatie,Onderzoek/Co-creatie,,,2025,"Industriële partner in extracorporale circulatie- en perfusietechnologieën, betrokken bij technologische ontwikkeling en validatie. Ondersteunt opschaling richting klinische toepassing en marktintroductie."
108,2022025,Organ Transplantation,partner:aarhus-university,Aarhus University,Publiek / Maatschappelijk,Publiek / Maatschappelijk,Contractresearch,Contractresearch,,,2025,"Internationale academische samenwerking op het gebied van hartperfusie, regeneratieve strategieën en transplantatie-innovatie. Versterkt internationale kennisuitwisseling en validatie van nieuwe technologieën."
