department_raw,department_clean,department_group,count
Metabolic Health Research,Metabolic Health Research,Metabolic Health Research,1
Micro- electronic s,Micro- Electronic S,Micro- Electronic S,1
Molecular Genetics/Vascular Surgery/Radiation Oncology,Surgery,Surgery,1
Molecular genetics,Molecular Genetics,Molecular Genetics,1
"Municipality, Advisor","Municipality, Advisor","Municipality, Advisor",1
Nanotechnology,Nanotechnology,Nanotechnology,1
National program,National Program,National Program,1
Neonatal ICU,Neonatal ICU,Neonatal ICU,1
Neurology and Clinical Genetics,Neurology,Neurology,1
Neuroscie nce/Clinic al genetics,Neuroscience,Neuroscience,1
Neurosurgery,Neurosurgery,Neurosurgery,1
Nursing Science,Nursing Science,Nursing Science,1
OBS,Obs,Obs,1
Obstetrics Education,Obstetrics Education,Obstetrics Education,1
"Obstetrics and Gynaecolog y, Paediatrics /Neonatolo gy","Obstetrics and Gynaecolog Y, Paediatrics / Neonatolo Gy","Obstetrics and Gynaecolog Y, Paediatrics / Neonatolo Gy",1
Obstetrics and Gynaecology,Obstetrics and Gynaecology,Obstetrics and Gynaecology,1
Oncological and Gastrointestinal Surgery,Surgery,Surgery,1
Operations,Operations,Operations,1
Optical Imaging Center,Optical Imaging Center,Optical Imaging Center,1
Optical Imaging Centre & Pathology,Pathology,Pathology,1
Oral and maxillofacial surgery,Surgery,Surgery,1
Organizational Dynamics in the Digital Society,Organizational Dynamics in the Digital Society,Organizational Dynamics in the Digital Society,1
Orthopaedics and Sports Medicine,Orthopaedics,Orthopaedics,1
Orthopaedics and sports,Orthopaedics,Orthopaedics,1
Orthopaedics and sports & Otorhino- laryngology / 3mE- Biomechanical Engineering,Biomechanical Engineering,Biomechanical Engineering,1
Orthopedics & Sportsmedicine General practise,Orthopedics and Sportsmedicine General Practise,Orthopedics and Sportsmedicine General Practise,1
Orthopedics & Sportsmedicine; Otorhinolaryngology BioMechanical Engineering,Orthopedics and Sportsmedicine; Biomechanical Engineering,Orthopedics and Sportsmedicine,1
Otorhinolaryngol,Otorhinolaryngol,Otorhinolaryngol,1
Otorhinolaryngol ogy & Head & Neck Surgery,Surgery,Surgery,1
Otorhinolaryngol ogy and Head & Neck Surgery,Surgery,Surgery,1
Otorhinolaryngology,Otorhinolaryngology,Otorhinolaryngology,1
Outpatient Pharmacy,Pharmacy,Pharmacy,1
Paediatric Nephrology,Paediatric Nephrology,Paediatric Nephrology,1
Pediatric Gastroenterol ogy,Pediatric Gastroenterol Ogy,Pediatric Gastroenterol Ogy,1
Pediatric Hematology,Pediatric Hematology,Pediatric Hematology,1
Pediatric Metabolic Diseases,Pediatric Metabolic Diseases,Pediatric Metabolic Diseases,1
Pediatric metabolic diseases,Pediatric Metabolic Diseases,Pediatric Metabolic Diseases,1
Pediatric surgery,Surgery,Surgery,1
Pediatrics,Pediatrics,Pediatrics,1
Philosophy and Ethics of Technology,Philosophy and Ethics of Technology,Philosophy and Ethics of Technology,1
Plastic & Reconstruct. Surgery,Surgery,Surgery,1
Plastic reconstructiv e Surgery,Surgery,Surgery,1
"Plastic, Reconstructive & Hand Surgery",Surgery,Surgery,1
"Plastic, Reconstructive and Hand Surgery",Surgery,Surgery,1
President of the Australian Academy of Health and,President of the Australian Academy of Health and,President of the Australian Academy of Health and,1
"Professor of medical genetics, rare disease expert","Professor of Medical Genetics, Rare Disease Expert","Professor of Medical Genetics, Rare Disease Expert",1
Proteomics Center,Proteomics Center,Proteomics Center,1
Psychology,Psychology,Psychology,1
Public,Public,Public,1
Public Admin. and Sociology,Public Admin. and Sociology,Public Admin. and Sociology,1
Public Health & Fac. ABE,Public Health,Public Health,1
"Public Health, Centre for Medical Decision Making",Public Health,Public Health,1
Public and private partnerships,Public and Private Partnerships,Public and Private Partnerships,1
Pulmonary Medicine,Pulmonary Medicine,Pulmonary Medicine,1
Pulmonary medicine,Pulmonary Medicine,Pulmonary Medicine,1
Quality and Patientcare,Quality and Patientcare,Quality and Patientcare,1
RSM & ESHPM,Rsm and Eshpm,Rsm and Eshpm,1
"RSM, department Technology & Operations Management; ESHPM, section Health Services Management and Organization","Rsm, Department Technology and Operations Management; Eshpm, Health Services Management and Organization","Rsm, Department Technology and Operations Management",1
Radio therapy,Radio Therapy,Radio Therapy,1
Radiology & Nuclear,Radiology and Nuclear,Radiology and Nuclear,1
Radiology & Nuclear Medicine / Imaging Physics,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Radiology & Nuclear Medicine Orthopaedics and Sports Medicine,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
"Radiology & Nuclear Medicine, BIGR",Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Radiology & Nuclear medicine,Radiology and Nuclear Medicine,Radiology and Nuclear Medicine,1
Radiology NuclMed/epidemiolo gy,Radiology Nuclmed / Epidemiolo Gy,Radiology Nuclmed / Epidemiolo Gy,1
Radiology/ Biomedical Imaging,Radiology / Biomedical Imaging,Radiology / Biomedical Imaging,1
Regie op registers,Regie Op Registers,Regie Op Registers,1
Research Policy Officer at Academic Affairs · Erasmus University Rotterdam,Research Policy Officer At Academic Affairs · Erasmus University Rotterdam,Research Policy Officer At Academic Affairs · Erasmus University Rotterdam,1
Research Suite (IT),Research Suite (It),Research Suite (It),1
Respiratory medicine,Respiratory Medicine,Respiratory Medicine,1
Rheumatology,Rheumatology,Rheumatology,1
SPIN,Spin,Spin,1
School of Health Policy & Manageme nt,School of Health Policy and Manageme Nt,School of Health Policy and Manageme Nt,1
School of Phi- losophy,School of Phi- Losophy,School of Phi- Losophy,1
School of Social and Behavioura l Sciences,School of Social and Behavioura L Sciences,School of Social and Behavioura L Sciences,1
Software Technology,Software Technology,Software Technology,1
Somnox,Somnox,Somnox,1
TBM,Tbm,Tbm,1
TNW,Tnw,Tnw,1
"TPM Values, Technology and Innovation","Tpm Values, Technology and Innovation","Tpm Values, Technology and Innovation",1
"TPM, Engineering Systems & Services","Tpm, Engineering Systems and Services","Tpm, Engineering Systems and Services",1
"TPM, department Engineering Systems and Services","Tpm, Department Engineering Systems and Services","Tpm, Department Engineering Systems and Services",1
"Technology,",Technology,Technology,1
"Technology, Policy & Management","Technology, Policy and Management","Technology, Policy and Management",1
"Technology, Policy and Management","Technology, Policy and Management","Technology, Policy and Management",1
"Technology, Policy and Management (TPM), Centre for Safety in Healthcare","Technology, Policy and Management (Tpm), Centre for Safety in Healthcare","Technology, Policy and Management (Tpm), Centre for Safety in Healthcare",1
Tenure-track 1,Tenure-Track 1,Tenure-Track 1,1
Thoracic oncology,Thoracic Oncology,Thoracic Oncology,1
Translational Cardiol Research,Translational Cardiol Research,Translational Cardiol Research,1
Transport Phe- nomena Lab,Transport Phe- Nomena Lab,Transport Phe- Nomena Lab,1
Urban and Transport Economics,Urban and Transport Economics,Urban and Transport Economics,1
"VTI, TPM","Vti, Tpm","Vti, Tpm",1
"Values, Technology and Innovation","Values, Technology and Innovation","Values, Technology and Innovation",1
Vascular Surgery & Molecular Genetics,Surgery,Surgery,1
Viroscience,Viroscience,Viroscience,1
[EMC]:,[EMC]:,[EMC]:,1
[EMC]: Molecular Genetics [TUD]: Imaging Physics,[EMC]: Molecular Genetics [Tud]: Imaging Physics,[EMC]: Molecular Genetics [Tud]: Imaging Physics,1
a.boor@erasmusmc.nl,A.Boor@Erasmusmc.Nl,A.Boor@Erasmusmc.Nl,1
a.omidvari@erasmusmc.nl,A.Omidvari@Erasmusmc.Nl,A.Omidvari@Erasmusmc.Nl,1
aat@nvvp.ne,Aat@Nvvp.Ne,Aat@Nvvp.Ne,1
c.vandeweg@erasmusmc.nl,C.Vandeweg@Erasmusmc.Nl,C.Vandeweg@Erasmusmc.Nl,1
e.vanrossum@erasmusmc.nl,E.Vanrossum@Erasmusmc.Nl,E.Vanrossum@Erasmusmc.Nl,1
eken@erasmusmc.nl,Eken@Erasmusmc.Nl,Eken@Erasmusmc.Nl,1
ewi,Ewi,Ewi,1
g.vanderhorst@erasmusmc.nl,G.Vanderhorst@Erasmusmc.Nl,G.Vanderhorst@Erasmusmc.Nl,1
h.ernst-smelt@erasmusmc.nl,H.Ernst-Smelt@Erasmusmc.Nl,H.Ernst-Smelt@Erasmusmc.Nl,1
iPS core facility,Ips Core Facility,Ips Core Facility,1
info@soulve.nu,Info@Soulve.Nu,Info@Soulve.Nu,1
j.a.hazelzet@erasmusmc.nl,J.A.Hazelzet@Erasmusmc.Nl,J.A.Hazelzet@Erasmusmc.Nl,1
j.hays@erasmusmc.nl,J.Hays@Erasmusmc.Nl,J.Hays@Erasmusmc.Nl,1
j.laven@erasmusmc.nl,J.Laven@Erasmusmc.Nl,J.Laven@Erasmusmc.Nl,1
j.vanmeurs@erasmusmc.nl,J.Vanmeurs@Erasmusmc.Nl,J.Vanmeurs@Erasmusmc.Nl,1
jan.cornelissen@ema.eu ropa.eu,Jan.Cornelissen@Ema.Eu Ropa.Eu,Jan.Cornelissen@Ema.Eu Ropa.Eu,1
kimvandenauweele@hellp.nl,Kimvandenauweele@Hellp.Nl,Kimvandenauweele@Hellp.Nl,1
l.vanderlaan@erasmusmc.nl,L.Vanderlaan@Erasmusmc.Nl,L.Vanderlaan@Erasmusmc.Nl,1
m.kalshoven@erasmusmc.nl,M.Kalshoven@Erasmusmc.Nl,M.Kalshoven@Erasmusmc.Nl,1
m.l.lupetti@tudelft.nl,M.L.Lupetti@Tudelft.Nl,M.L.Lupetti@Tudelft.Nl,1
m.rousian@erasmusmc.nl,M.Rousian@Erasmusmc.Nl,M.Rousian@Erasmusmc.Nl,1
medicine Erasmus MC,Medicine Erasmus Mc,Medicine Erasmus Mc,1
r.al@erasmusmc.nl,R.Al@Erasmusmc.Nl,R.Al@Erasmusmc.Nl,1
r.steegers@erasmusmc.nl,R.Steegers@Erasmusmc.Nl,R.Steegers@Erasmusmc.Nl,1
r.veen@erasmusmc.nl,R.Veen@Erasmusmc.Nl,R.Veen@Erasmusmc.Nl,1
r.wiegel@erasmusmc.nl,R.Wiegel@Erasmusmc.Nl,R.Wiegel@Erasmusmc.Nl,1
s.mulder@erasmusmc.nl,S.Mulder@Erasmusmc.Nl,S.Mulder@Erasmusmc.Nl,1
s.vermeer@erasmusmc.nl,S.Vermeer@Erasmusmc.Nl,S.Vermeer@Erasmusmc.Nl,1
t.huysmans@tudelft.nl,T.Huysmans@Tudelft.Nl,T.Huysmans@Tudelft.Nl,1
t.laffree@erasmusmc.nl,T.Laffree@Erasmusmc.Nl,T.Laffree@Erasmusmc.Nl,1
themabureau Sophia,Themabureau Sophia,Themabureau Sophia,1
v.jaddoe@erasmusmc.nl,V.Jaddoe@Erasmusmc.Nl,V.Jaddoe@Erasmusmc.Nl,1
v.janmaat@erasmusmc.nl,V.Janmaat@Erasmusmc.Nl,V.Janmaat@Erasmusmc.Nl,1
vanbaal@eshpm.eur.nl,Vanbaal@Eshpm.Eur.Nl,Vanbaal@Eshpm.Eur.Nl,1
vietze@essb.eur.nl,Vietze@Essb.Eur.Nl,Vietze@Essb.Eur.Nl,1
